"","GEO.Region","Operating.Airline"
"392","US","Delta Air Lines"
"393","Asia","EVA Airways"
"394","Asia","EVA Airways"
"395","US","Frontier Airlines"
"396","US","Frontier Airlines"
"397","US","Hawaiian Airlines"
"398","US","Hawaiian Airlines"
"399","US","Horizon Air "
"400","US","Horizon Air "
"401","Europe","Icelandair"
"402","Europe","Icelandair"
"403","US","Independence Air"
"404","US","Independence Air"
"405","Asia","Japan Airlines"
"406","Asia","Japan Airlines"
"407","Europe","KLM Royal Dutch Airlines"
"408","Europe","KLM Royal Dutch Airlines"
"409","Asia","Korean Air Lines"
"410","Asia","Korean Air Lines"
"411","Europe","Lufthansa German Airlines"
"412","Europe","Lufthansa German Airlines"
"413","US","Mesa Airlines"
"414","US","Mesa Airlines"
"415","Mexico","Mexicana Airlines"
"416","Mexico","Mexicana Airlines"
"417","Canada","Miami Air International"
"418","US","Midwest Airlines"
"419","US","Midwest Airlines"
"420","US","Northwest Airlines"
"421","US","Northwest Airlines"
"422","Asia","Northwest Airlines"
"423","Asia","Northwest Airlines"
"424","Asia","Philippine Airlines"
"425","Asia","Philippine Airlines"
"426","Asia","Singapore Airlines"
"427","Asia","Singapore Airlines"
"428","US","SkyWest Airlines"
"429","US","SkyWest Airlines"
"430","US","SkyWest Airlines"
"431","US","SkyWest Airlines"
"432","Canada","SkyWest Airlines"
"433","Canada","SkyWest Airlines"
"434","US","Sun Country Airlines"
"435","US","Sun Country Airlines"
"436","Central America","TACA"
"437","Central America","TACA"
"438","US","US Airways"
"439","US","US Airways"
"440","US","US Airways"
"441","US","US Airways"
"442","US","United Airlines"
"443","US","United Airlines"
"444","US","United Airlines - Pre 07/01/2013"
"445","US","United Airlines - Pre 07/01/2013"
"446","US","United Airlines - Pre 07/01/2013"
"447","US","United Airlines - Pre 07/01/2013"
"448","US","United Airlines - Pre 07/01/2013"
"449","US","United Airlines - Pre 07/01/2013"
"450","US","United Airlines - Pre 07/01/2013"
"451","US","United Airlines - Pre 07/01/2013"
"452","Asia","United Airlines - Pre 07/01/2013"
"453","Asia","United Airlines - Pre 07/01/2013"
"454","Asia","United Airlines - Pre 07/01/2013"
"455","Australia / Oceania","United Airlines - Pre 07/01/2013"
"456","Australia / Oceania","United Airlines - Pre 07/01/2013"
"457","Australia / Oceania","United Airlines - Pre 07/01/2013"
"458","Canada","United Airlines - Pre 07/01/2013"
"459","Canada","United Airlines - Pre 07/01/2013"
"460","Canada","United Airlines - Pre 07/01/2013"
"461","Europe","United Airlines - Pre 07/01/2013"
"462","Europe","United Airlines - Pre 07/01/2013"
"463","Europe","United Airlines - Pre 07/01/2013"
"464","Mexico","United Airlines - Pre 07/01/2013"
"465","Mexico","United Airlines - Pre 07/01/2013"
"466","Mexico","United Airlines - Pre 07/01/2013"
"467","Europe","Virgin Atlantic"
"468","Europe","Virgin Atlantic"
"469","Canada","WestJet Airlines"
"470","Canada","WestJet Airlines"
"471","US","ATA Airlines"
"472","US","ATA Airlines"
"473","US","ATA Airlines"
"474","Canada","ATA Airlines"
"475","Canada","ATA Airlines"
"476","Canada","Air Canada "
"477","Canada","Air Canada "
"478","Asia","Air China"
"479","Asia","Air China"
"480","Europe","Air France"
"481","Europe","Air France"
"482","Australia / Oceania","Air New Zealand"
"483","Australia / Oceania","Air New Zealand"
"484","US","AirTran Airways"
"485","US","AirTran Airways"
"486","US","Alaska Airlines"
"487","US","Alaska Airlines"
"488","US","Alaska Airlines"
"489","Canada","Alaska Airlines"
"490","Canada","Alaska Airlines"
"491","Canada","Alaska Airlines"
"492","Mexico","Alaska Airlines"
"493","Mexico","Alaska Airlines"
"494","Mexico","Alaska Airlines"
"495","Asia","All Nippon Airways"
"496","Asia","All Nippon Airways"
"497","US","American Airlines"
"498","US","American Airlines"
"499","US","American Eagle Airlines"
"500","US","American Eagle Airlines"
"501","Asia","Asiana Airlines"
"502","Asia","Asiana Airlines"
"503","Europe","British Airways"
"504","Europe","British Airways"
"505","Asia","Cathay Pacific"
"506","Asia","Cathay Pacific"
"507","Asia","China Airlines"
"508","Asia","China Airlines"
"509","US","Delta Air Lines"
"510","US","Delta Air Lines"
"511","US","Delta Air Lines"
"512","US","Delta Air Lines"
"513","Asia","EVA Airways"
"514","Asia","EVA Airways"
"515","US","Frontier Airlines"
"516","US","Frontier Airlines"
"517","US","Hawaiian Airlines"
"518","US","Hawaiian Airlines"
"519","US","Horizon Air "
"520","US","Horizon Air "
"521","US","Independence Air"
"522","US","Independence Air"
"523","Asia","Japan Airlines"
"524","Asia","Japan Airlines"
"525","Europe","KLM Royal Dutch Airlines"
"526","Europe","KLM Royal Dutch Airlines"
"527","Asia","Korean Air Lines"
"528","Asia","Korean Air Lines"
"529","Europe","Lufthansa German Airlines"
"530","Europe","Lufthansa German Airlines"
"531","US","Mesa Airlines"
"532","US","Mesa Airlines"
"533","Mexico","Mexicana Airlines"
"534","Mexico","Mexicana Airlines"
"535","US","Midwest Airlines"
"536","US","Midwest Airlines"
"537","US","Northwest Airlines"
"538","US","Northwest Airlines"
"539","Asia","Northwest Airlines"
"540","Asia","Northwest Airlines"
"541","Asia","Philippine Airlines"
"542","Asia","Philippine Airlines"
"543","Asia","Singapore Airlines"
"544","US","Mesa Airlines"
"545","Asia","Singapore Airlines"
"546","US","SkyWest Airlines"
"547","US","SkyWest Airlines"
"548","US","SkyWest Airlines"
"549","US","SkyWest Airlines"
"550","Canada","SkyWest Airlines"
"551","Canada","SkyWest Airlines"
"552","US","Sun Country Airlines"
"553","US","Sun Country Airlines"
"554","Central America","TACA"
"555","Central America","TACA"
"556","US","US Airways"
"557","US","US Airways"
"558","US","US Airways"
"559","US","US Airways"
"560","US","United Airlines"
"561","US","United Airlines"
"562","US","United Airlines - Pre 07/01/2013"
"563","US","United Airlines - Pre 07/01/2013"
"564","US","United Airlines - Pre 07/01/2013"
"565","US","United Airlines - Pre 07/01/2013"
"566","US","United Airlines - Pre 07/01/2013"
"567","Asia","United Airlines - Pre 07/01/2013"
"568","Asia","United Airlines - Pre 07/01/2013"
"569","Asia","United Airlines - Pre 07/01/2013"
"570","Australia / Oceania","United Airlines - Pre 07/01/2013"
"571","Australia / Oceania","United Airlines - Pre 07/01/2013"
"572","Australia / Oceania","United Airlines - Pre 07/01/2013"
"573","Canada","United Airlines - Pre 07/01/2013"
"574","Canada","United Airlines - Pre 07/01/2013"
"575","Mexico","Alaska Airlines"
"576","Europe","United Airlines - Pre 07/01/2013"
"577","Europe","United Airlines - Pre 07/01/2013"
"578","Europe","United Airlines - Pre 07/01/2013"
"579","Mexico","United Airlines - Pre 07/01/2013"
"580","Mexico","United Airlines - Pre 07/01/2013"
"581","Mexico","United Airlines - Pre 07/01/2013"
"582","Europe","Virgin Atlantic"
"583","Europe","Virgin Atlantic"
"584","Canada","WestJet Airlines"
"585","Canada","WestJet Airlines"
"586","US","ATA Airlines"
"587","US","ATA Airlines"
"588","US","ATA Airlines"
"589","Canada","Air Canada "
"590","Canada","Air Canada "
"591","Canada","Air Canada Jazz"
"592","Canada","Air Canada Jazz"
"593","Asia","Air China"
"594","Asia","Air China"
"595","Europe","Air France"
"596","Europe","Air France"
"597","Australia / Oceania","Air New Zealand"
"598","Australia / Oceania","Air New Zealand"
"599","US","AirTran Airways"
