"","GEO.Summary","Operating.Airline"
"5354","International","United Airlines - Pre 07/01/2013"
"5355","International","United Airlines - Pre 07/01/2013"
"5356","International","United Airlines - Pre 07/01/2013"
"5357","International","United Airlines - Pre 07/01/2013"
"5358","International","United Airlines - Pre 07/01/2013"
"5359","International","United Airlines - Pre 07/01/2013"
"5360","International","United Airlines - Pre 07/01/2013"
"5361","International","United Airlines - Pre 07/01/2013"
"5362","International","United Airlines - Pre 07/01/2013"
"5363","International","United Airlines - Pre 07/01/2013"
"5364","International","United Airlines - Pre 07/01/2013"
"5365","International","United Airlines - Pre 07/01/2013"
"5366","Domestic","Virgin America"
"5367","Domestic","Virgin America"
"5368","International","Virgin Atlantic"
"5369","International","Virgin Atlantic"
"5370","International","Aer Lingus"
"5371","International","Aer Lingus"
"5372","International","Aeromexico"
"5373","International","Aeromexico"
"5374","International","Air Canada "
"5375","International","Air Canada "
"5376","International","Air China"
"5377","International","Air China"
"5378","International","Air France"
"5379","International","Air France"
"5380","International","Air New Zealand"
"5381","International","Air New Zealand"
"5382","Domestic","AirTran Airways"
"5383","Domestic","AirTran Airways"
"5384","Domestic","Alaska Airlines"
"5385","Domestic","Alaska Airlines"
"5386","International","Alaska Airlines"
"5387","International","Alaska Airlines"
"5388","International","All Nippon Airways"
"5389","International","All Nippon Airways"
"5390","Domestic","American Airlines"
"5391","Domestic","American Airlines"
"5392","Domestic","American Eagle Airlines"
"5393","Domestic","American Eagle Airlines"
"5394","International","Asiana Airlines"
"5395","International","Asiana Airlines"
"5396","International","British Airways"
"5397","International","British Airways"
"5398","International","Cathay Pacific"
"5399","International","Cathay Pacific"
"5400","International","China Airlines"
"5401","International","China Airlines"
"5402","Domestic","Delta Air Lines"
"5403","Domestic","Delta Air Lines"
"5404","International","EVA Airways"
"5405","International","EVA Airways"
"5406","International","Emirates "
"5407","International","Emirates "
"5408","Domestic","Frontier Airlines"
"5409","Domestic","Frontier Airlines"
"5410","Domestic","Hawaiian Airlines"
"5411","Domestic","Hawaiian Airlines"
"5412","Domestic","Horizon Air "
"5413","Domestic","Horizon Air "
"5414","International","Japan Airlines"
"5415","International","Japan Airlines"
"5416","Domestic","JetBlue Airways "
"5417","Domestic","JetBlue Airways "
"5418","International","KLM Royal Dutch Airlines"
"5419","International","KLM Royal Dutch Airlines"
"5420","International","Korean Air Lines"
"5421","International","Korean Air Lines"
"5422","International","Lufthansa German Airlines"
"5423","International","Lufthansa German Airlines"
"5424","Domestic","Mesaba Airlines"
"5425","Domestic","Mesaba Airlines"
"5426","International","Mexicana Airlines"
"5427","International","Mexicana Airlines"
"5428","Domestic","Miami Air International"
"5429","Domestic","Miami Air International"
"5430","Domestic","Midwest Airlines"
"5431","Domestic","Midwest Airlines"
"5432","Domestic","Northwest Airlines"
"5433","Domestic","Northwest Airlines"
"5434","Domestic","Northwest Airlines"
"5435","International","Northwest Airlines"
"5436","International","Northwest Airlines"
"5437","International","Philippine Airlines"
"5438","International","Philippine Airlines"
"5439","International","Qantas Airways"
"5440","International","Qantas Airways"
"5441","International","Singapore Airlines"
"5442","International","Singapore Airlines"
"5443","Domestic","SkyWest Airlines"
"5444","Domestic","SkyWest Airlines"
"5445","Domestic","SkyWest Airlines"
"5446","Domestic","SkyWest Airlines"
"5447","International","SkyWest Airlines"
"5448","International","SkyWest Airlines"
"5449","International","SkyWest Airlines"
"5450","Domestic","Southwest Airlines"
"5451","Domestic","Southwest Airlines"
"5452","Domestic","Southwest Airlines"
"5453","Domestic","Sun Country Airlines"
"5454","Domestic","Sun Country Airlines"
"5455","International","TACA"
"5456","International","TACA"
"5457","Domestic","US Airways"
"5458","Domestic","US Airways"
"5459","Domestic","United Airlines"
"5460","Domestic","United Airlines"
"5461","Domestic","United Airlines - Pre 07/01/2013"
"5462","Domestic","United Airlines - Pre 07/01/2013"
"5463","Domestic","United Airlines - Pre 07/01/2013"
"5464","Domestic","United Airlines - Pre 07/01/2013"
"5465","Domestic","United Airlines - Pre 07/01/2013"
"5466","Domestic","United Airlines - Pre 07/01/2013"
"5467","Domestic","United Airlines - Pre 07/01/2013"
"5468","Domestic","United Airlines - Pre 07/01/2013"
"5469","International","United Airlines - Pre 07/01/2013"
"5470","International","United Airlines - Pre 07/01/2013"
"5471","International","United Airlines - Pre 07/01/2013"
"5472","International","United Airlines - Pre 07/01/2013"
"5473","International","United Airlines - Pre 07/01/2013"
"5474","International","United Airlines - Pre 07/01/2013"
"5475","International","United Airlines - Pre 07/01/2013"
"5476","International","United Airlines - Pre 07/01/2013"
"5477","International","United Airlines - Pre 07/01/2013"
"5478","International","United Airlines - Pre 07/01/2013"
"5479","International","United Airlines - Pre 07/01/2013"
